0	1.0	-0.0	-0.0	-0.0	0.0	0.36	0.29	0.11	-0.06	0.03
0	-0.0	1.0	-0.0	0.0	0.0	0.05	-0.07	-0.07	0.0	-0.06
0	-0.0	-0.0	1.0	0.0	-0.0	0.14	0.01	0.06	0.13	0.05
0	-0.0	0.0	0.0	1.0	-0.0	0.04	-0.14	-0.02	0.0	-0.03
0	0.0	0.0	-0.0	-0.0	1.0	0.08	0.01	0.17	0.27	-0.17
0	0.36	0.05	0.14	0.04	0.08	1.0	0.01	-0.01	-0.03	0.0
0	0.29	-0.07	0.01	-0.14	0.01	0.01	1.0	-0.01	-0.03	-0.01
0	0.11	-0.07	0.06	-0.02	0.17	-0.01	-0.01	1.0	-0.01	0.01
0	-0.06	0.0	0.13	0.0	0.27	-0.03	-0.03	-0.01	1.0	-0.01
0	0.03	-0.06	0.05	-0.03	-0.17	0.0	-0.01	0.01	-0.01	1.0
